Source,Target,Type,Weight,EdgeType,routes,dist_m
304142,304101,Directed,173.26,BUS,"24, 27",0.0
304142,304141,Directed,615.85,WALK,,92.9
304142,304091,Directed,458.16,WALK,,127.6
304142,304162,Directed,374.18,WALK,,174.9
304142,304092,Directed,300.24,WALK,,124.6
304142,304161,Directed,435.12,WALK,,260.2
303022,203061,Directed,120.45,BUS,"2, 22",0.0
303022,203141,Directed,611.32,BUS,24,0.0
303022,303024,Directed,272.52,WALK,,142.1
303022,303032,Directed,364.93,WALK,,279.5
303022,303021,Directed,113.48,WALK,,88.1
405082,405092,Directed,1408.7,BUS,10,0.0
405082,405081,Directed,1446.3,WALK,,52.6
405082,405091,Directed,1620.03,WALK,,295.9
803022,803032,Directed,97.3,BUS,"1, 1B, 25, N1",0.0
803022,803021,Directed,133.67,WALK,,50.9
204071,204061,Directed,241.79,BUS,"12D, 24",0.0
204071,204072,Directed,615.21,WALK,,153.4
603022,603032,Directed,144.0,BUS,"1, 1B",0.0
603022,603012,Directed,258.37,WALK,,160.1
603022,603021,Directed,151.38,WALK,,19.7
504031,504033,Directed,395.12,BUS,"3, N3",0.0
504031,504033,Directed,266.93,WALK,,75.3
504031,504032,Directed,516.51,WALK,,75.1
203151,203101,Directed,80.4,BUS,"12D, 2, 24, 7",0.0
203151,203102,Directed,279.73,WALK,,279.1
203151,203152,Directed,335.08,WALK,,130.3
301012,202012,Directed,90.25,BUS,"12D, 2, 27",0.0
301012,402022,Directed,135.0,BUS,"25, 9",0.0
301012,301011,Directed,143.37,WALK,,125.0
304031,304011,Directed,92.84,BUS,"20, 20Z, 22, 25",0.0
304031,304041,Directed,359.03,WALK,,153.7
304031,304032,Directed,297.25,WALK,,92.3
304031,304022,Directed,374.34,WALK,,175.2
304031,304042,Directed,343.09,WALK,,280.5
504121,504041,Directed,241.79,BUS,27,0.0
504121,504122,Directed,278.05,WALK,,50.8
745111,614111,Directed,450.0,BUS,19B,0.0
745111,745112,Directed,456.91,WALK,,9.7
804031,804021,Directed,72.16,BUS,"1, 1B, 25, 8, N1",0.0
804031,804032,Directed,164.68,WALK,,129.5
804031,804022,Directed,230.34,WALK,,221.4
104082,104092,Directed,279.31,BUS,8,0.0
104082,104092,Directed,492.72,WALK,,298.8
